TITLE,CUISINES,TIME,CITY,LOCALITY,RATING,VOTES,COST
0,148,5,55,197,2.8,73,872.0
75,1597,914,18,330,3.5,66,535.25
75,1288,242,18,334,3.1,34,535.25
23,882,1000,108,110,4.0,520,535.25
23,1212,603,96,313,3.8,402,535.25
57,590,226,9,344,4.0,2194,535.25
23,1649,999,18,815,3.4,28,535.25
75,1212,242,18,381,2.8,26,535.25
23,58,115,18,761,3.9,231,535.25
66,1212,242,41,456,0.0,0,474.5
75,132,242,18,36,2.8,41,535.25
75,615,305,96,45,3.8,59,535.25
0,719,117,96,45,0.0,0,524.25
23,263,490,46,258,4.6,267,535.25
75,1212,242,18,231,3.3,95,535.25
0,138,1052,78,759,0.0,0,524.25
23,522,256,96,64,3.9,476,535.25
66,138,1101,18,758,3.5,19,535.25
0,138,49,50,561,3.7,50,872.0
66,771,345,108,707,4.0,159,535.25
23,210,417,9,80,3.8,221,535.25
45,50,503,55,117,3.9,196,535.25
23,771,267,78,296,4.1,455,535.25
75,1681,790,96,121,4.0,908,535.25
75,1134,1084,108,787,3.6,33,535.25
23,1212,1007,78,296,3.2,55,535.25
23,1212,93,18,794,3.4,155,535.25
23,1644,49,78,410,2.9,13,535.25
25,113,493,96,99,4.2,1028,535.25
75,1467,63,50,667,3.8,292,535.25
66,1227,512,9,645,3.9,47,535.25
80,1256,480,55,698,2.8,89,535.25
23,1401,242,78,297,3.0,4,535.25
75,510,762,78,770,3.2,9,535.25
39,920,412,8,373,4.6,743,535.25
15,334,57,9,343,4.1,320,535.25
75,661,109,96,312,3.9,571,535.25
10,185,1106,78,410,0.0,0,474.5
57,589,744,96,443,4.6,548,535.25
39,741,485,108,613,4.3,284,535.25
75,208,256,55,729,3.8,702,535.25
23,1382,931,18,122,3.8,94,535.25
75,1681,709,9,495,0.0,0,474.5
23,1459,873,18,758,3.8,324,535.25
66,713,616,96,192,4.0,478,535.25
23,512,639,96,217,3.7,386,535.25
75,1256,208,18,50,3.8,98,535.25
75,771,403,108,587,3.9,54,535.25
75,1557,63,18,599,3.6,36,535.25
23,1425,250,96,217,3.8,240,535.25
46,1185,103,18,48,4.2,88,535.25
75,1649,920,18,591,3.6,77,535.25
85,1133,1016,55,428,3.6,56,535.25
66,1212,305,108,787,4.2,105,535.25
23,1637,850,78,184,3.8,23,535.25
75,1597,878,9,82,4.1,580,535.25
23,1170,480,9,346,3.8,273,535.25
0,145,208,96,218,0.0,0,524.25
75,22,247,96,593,4.4,92,535.25
55,931,941,96,437,3.5,124,535.25
23,1626,1170,96,806,3.8,387,535.25
75,497,1023,96,302,3.5,48,535.25
66,488,1057,96,217,4.5,60,535.25
23,442,302,9,278,3.3,583,535.25
0,138,1016,118,53,3.7,34,872.0
71,1212,102,117,830,3.5,22,535.25
75,771,1083,96,183,3.8,113,535.25
3,151,84,78,418,0.0,0,474.5
0,138,480,55,61,3.4,68,872.0
75,771,480,123,316,3.6,71,535.25
10,204,256,9,182,4.0,70,535.25
66,1286,950,112,531,3.5,321,535.25
23,1278,956,78,32,3.5,14,535.25
25,544,219,135,753,4.3,1640,535.25
23,1337,78,18,262,3.6,34,535.25
75,1597,1042,78,770,0.0,0,474.5
75,1212,242,112,123,3.5,161,535.25
23,1597,1005,78,410,0.0,0,474.5
10,994,1084,55,749,3.8,70,535.25
45,1173,1016,50,541,3.6,71,535.25
15,404,695,18,524,3.7,50,535.25
23,771,256,18,532,3.6,189,535.25
23,1387,299,18,602,4.3,1265,535.25
75,843,663,96,92,3.9,114,535.25
75,1597,1016,108,374,4.1,641,535.25
66,1212,976,9,537,3.9,133,535.25
0,145,1102,18,330,4.5,135,872.0
23,1003,708,55,77,3.7,52,535.25
75,1260,1015,96,217,3.8,150,535.25
75,787,503,96,45,4.5,2189,535.25
6,849,256,18,622,3.8,76,535.25
75,1438,503,108,787,4.4,950,535.25
75,1173,480,108,331,3.8,213,535.25
75,208,480,78,377,0.0,0,474.5
23,1075,242,103,790,4.5,175,535.25
75,1285,964,96,716,0.0,0,474.5
51,1173,242,55,77,3.6,27,535.25
75,771,256,18,286,4.1,291,535.25
23,1416,262,96,151,3.7,1650,535.25
75,449,523,55,335,2.7,63,535.25
13,195,503,103,790,3.9,525,535.25
39,920,242,78,175,0.0,0,474.5
75,1544,480,61,584,3.5,13,535.25
23,1162,278,96,785,3.8,410,535.25
23,612,233,18,29,3.9,218,535.25
75,1597,867,9,605,4.1,488,535.25
23,1160,364,106,545,3.5,73,535.25
23,455,563,78,813,4.1,313,535.25
23,185,329,9,619,4.1,31,535.25
23,1649,242,133,251,3.4,201,535.25
75,771,242,18,51,3.9,97,535.25
15,302,52,108,448,3.8,172,535.25
66,1597,290,112,531,3.5,37,535.25
75,1212,242,110,683,3.3,44,535.25
66,1416,262,108,424,4.3,46,535.25
75,1371,480,108,423,3.8,639,535.25
23,253,386,9,257,4.3,1808,535.25
23,1308,256,103,208,3.8,154,535.25
75,1597,920,55,355,3.5,222,535.25
75,1173,242,108,778,3.5,23,535.25
75,1173,242,50,667,3.6,35,535.25
46,89,396,110,687,4.6,104,535.25
75,831,666,55,767,3.7,213,535.25
39,915,262,18,34,3.9,76,535.25
5,151,1056,18,321,3.3,17,535.25
23,1553,242,18,532,0.0,0,474.5
75,1522,242,96,430,3.4,318,535.25
75,179,480,55,379,3.7,483,535.25
75,1173,464,108,315,4.4,261,535.25
46,1068,803,9,400,4.2,570,535.25
75,1364,914,9,820,3.8,185,535.25
75,1480,1074,110,498,4.0,618,535.25
66,1236,103,112,531,4.5,50,535.25
23,1113,986,96,396,3.8,1323,535.25
23,1219,510,96,396,3.9,884,535.25
5,153,1016,46,258,4.1,788,535.25
23,108,17,96,217,4.2,237,535.25
82,1317,997,50,660,3.1,430,535.25
23,1619,914,9,800,0.0,0,474.5
23,1256,1019,96,114,3.7,197,535.25
23,1181,115,18,558,3.6,87,535.25
23,1212,430,78,296,3.3,135,535.25
75,1480,242,96,140,3.7,708,535.25
23,458,376,96,593,3.8,791,535.25
75,1644,242,55,348,3.7,218,535.25
66,1173,339,55,355,3.0,92,535.25
15,427,862,151,820,3.6,9,535.25
17,399,490,108,225,4.3,921,535.25
75,1698,242,18,314,3.7,295,535.25
75,771,242,9,304,3.8,26,535.25
75,793,219,96,389,3.9,441,535.25
23,703,242,18,51,4.3,675,535.25
66,1173,219,66,481,3.8,13,535.25
46,876,803,9,537,4.2,130,535.25
23,1212,242,55,745,3.6,42,535.25
75,1005,357,9,275,4.0,1002,535.25
25,1349,124,108,222,3.9,367,535.25
75,1300,475,50,507,3.4,83,535.25
51,1513,242,9,400,2.8,270,535.25
9,849,783,55,249,4.1,313,535.25
4,148,873,123,768,3.6,85,535.25
75,1173,208,78,296,3.5,14,535.25
39,730,695,18,34,4.0,46,535.25
25,135,497,55,355,4.0,904,535.25
75,1099,262,96,284,0.0,0,474.5
75,771,772,96,430,3.9,57,535.25
13,196,199,9,275,4.0,75,535.25
23,1418,1095,96,396,3.7,183,535.25
25,36,242,9,182,3.8,36,535.25
75,1033,1089,78,175,0.0,0,474.5
75,44,124,9,95,3.6,23,535.25
46,1416,396,18,233,4.4,564,535.25
66,1420,464,110,663,4.5,1601,535.25
75,1597,778,78,175,3.8,94,535.25
75,1077,242,96,312,3.7,399,535.25
56,839,167,46,258,4.0,629,535.25
39,606,334,18,36,3.8,144,535.25
23,975,5,46,731,4.5,98,535.25
23,902,242,9,257,4.8,285,535.25
75,1597,1150,96,419,4.0,785,535.25
23,938,263,96,161,3.7,151,535.25
51,1173,480,55,783,2.6,338,535.25
6,940,772,78,184,2.8,24,535.25
23,1522,435,55,336,3.1,591,535.25
83,1133,49,55,348,3.8,70,535.25
23,1201,765,55,21,3.6,92,535.25
6,849,242,78,296,0.0,0,474.5
75,1212,519,18,50,4.2,462,535.25
16,313,63,15,339,4.3,38,535.25
23,1439,560,9,409,4.4,3536,535.25
75,786,121,110,588,4.6,487,535.25
75,1597,814,55,432,3.6,159,535.25
23,1637,800,78,566,3.1,6,535.25
39,740,63,55,111,3.6,57,535.25
46,40,909,96,806,4.5,759,535.25
23,1428,613,96,210,4.0,345,535.25
75,208,92,18,634,3.3,40,535.25
23,1236,684,18,735,3.9,80,535.25
23,933,537,9,256,4.6,810,535.25
46,95,560,96,192,4.5,1024,535.25
23,77,103,18,769,2.8,32,535.25
23,1609,790,18,36,3.5,49,535.25
75,514,242,108,649,4.0,605,535.25
66,821,63,110,228,3.8,61,535.25
23,564,317,78,181,3.9,125,535.25
75,1655,242,9,101,3.5,14,535.25
23,946,653,18,34,4.4,553,535.25
39,740,19,2,250,3.4,240,535.25
23,333,431,55,282,4.0,1587,535.25
23,1644,793,131,123,4.3,707,535.25
23,1001,789,18,575,3.3,50,535.25
23,1447,148,96,133,4.0,1116,535.25
75,538,464,18,818,3.7,349,535.25
23,1324,560,55,708,3.7,89,535.25
15,527,1120,123,636,4.0,94,535.25
66,1205,840,112,531,0.0,0,474.5
66,449,480,18,779,3.8,67,535.25
0,138,219,108,158,4.0,1020,872.0
75,802,242,78,582,0.0,0,474.5
23,531,395,18,178,4.0,130,535.25
75,1597,948,9,82,3.8,11,535.25
75,1223,242,9,409,3.5,10,535.25
66,1549,327,96,383,0.0,0,474.5
23,1609,920,78,296,3.7,58,535.25
75,1212,598,55,197,3.3,791,535.25
23,1465,480,55,277,3.6,54,535.25
5,163,443,18,426,3.5,53,535.25
23,1599,107,78,175,3.9,105,535.25
23,132,734,108,402,3.9,67,535.25
16,385,63,50,215,4.2,831,535.25
23,1338,563,9,71,4.0,670,535.25
66,1216,242,9,67,3.6,16,535.25
23,31,636,9,820,4.0,121,535.25
23,1212,931,78,193,2.7,41,535.25
39,727,256,55,282,3.7,47,535.25
23,47,637,55,197,4.0,1051,535.25
23,276,1014,18,470,3.5,58,535.25
46,508,521,96,823,4.0,463,535.25
66,1681,1108,110,660,3.7,140,535.25
6,872,242,9,257,4.1,54,535.25
23,1273,503,108,156,3.7,980,535.25
75,208,320,18,330,3.6,38,535.25
66,208,242,55,361,3.3,147,535.25
23,1177,121,55,197,3.4,59,535.25
66,1212,217,96,358,4.0,317,535.25
75,1008,242,9,244,4.2,130,535.25
75,1070,713,78,175,3.8,47,535.25
0,148,52,50,146,4.0,1376,872.0
66,819,605,112,531,4.6,115,535.25
23,232,242,123,316,4.0,1742,535.25
75,48,951,55,355,3.1,52,535.25
75,1008,799,78,300,0.0,0,474.5
25,1236,844,96,284,0.0,0,474.5
66,1681,953,108,440,4.0,287,535.25
23,978,262,96,45,4.2,373,535.25
23,1650,357,55,379,3.6,207,535.25
23,1467,823,78,47,3.6,20,535.25
25,460,560,55,282,0.0,0,474.5
39,921,256,4,12,4.2,354,535.25
23,1173,563,9,631,4.1,684,535.25
24,607,684,55,249,3.9,141,535.25
23,874,400,78,812,3.1,7,535.25
75,1234,171,9,86,3.8,33,535.25
71,1706,495,9,257,4.4,254,535.25
15,364,984,96,375,3.8,277,535.25
23,1094,503,55,379,4.0,559,535.25
23,1597,884,78,821,3.0,10,535.25
75,1459,789,78,290,0.0,0,474.5
23,1156,123,96,121,3.6,365,535.25
66,1142,655,108,365,3.9,691,535.25
23,5,469,96,396,4.3,2487,535.25
66,897,1016,9,345,4.0,457,535.25
75,1111,1077,55,372,3.4,100,535.25
25,1445,503,108,613,4.4,612,535.25
75,484,347,108,305,3.8,160,535.25
2,142,208,110,690,3.8,92,535.25
75,1173,74,96,121,0.0,0,474.5
23,1525,242,96,593,3.7,667,535.25
75,1212,219,9,356,3.8,78,535.25
75,907,242,9,67,0.0,0,474.5
23,1084,515,96,154,3.7,196,535.25
23,109,480,108,637,4.1,2143,535.25
23,1021,1005,78,296,3.5,210,535.25
31,749,503,9,86,4.2,893,535.25
46,1393,374,108,110,4.4,4069,535.25
75,1597,1044,78,418,3.3,8,535.25
23,449,595,78,181,4.2,226,535.25
15,108,503,108,41,0.0,0,474.5
23,1288,256,50,673,3.7,907,535.25
23,1227,158,18,50,3.7,200,535.25
23,1416,242,55,38,3.2,227,535.25
23,1112,931,78,193,4.4,184,535.25
23,1171,179,58,747,4.3,289,535.25
75,1681,694,9,82,4.1,242,535.25
75,1173,256,55,698,4.1,277,535.25
26,937,242,18,794,4.0,112,535.25
46,1096,968,96,806,4.3,470,535.25
75,1540,503,55,239,3.7,161,535.25
66,208,305,110,693,3.8,84,535.25
0,138,920,78,193,0.0,0,524.25
78,302,981,78,566,0.0,0,474.5
25,1297,68,103,105,3.9,510,535.25
66,1256,290,9,67,3.6,26,535.25
23,1583,603,78,300,3.5,14,535.25
23,1160,256,96,298,3.9,803,535.25
10,190,272,126,198,4.2,231,535.25
75,468,219,18,758,3.6,360,535.25
15,371,470,50,149,0.0,0,474.5
75,1212,242,9,826,3.7,64,535.25
75,831,268,108,635,3.9,30,535.25
23,176,242,55,336,3.9,1205,535.25
17,354,701,88,752,3.8,758,535.25
75,1649,820,9,346,2.9,67,535.25
0,138,334,78,813,0.0,0,524.25
75,1173,412,108,522,3.7,83,535.25
75,1173,984,55,336,3.3,293,535.25
15,302,1084,96,74,4.1,1150,535.25
75,771,691,135,753,0.0,0,474.5
66,1710,817,9,257,4.0,60,535.25
75,1597,818,55,277,4.1,207,535.25
23,1008,1044,78,296,3.9,105,535.25
25,1362,904,9,825,3.6,140,535.25
66,174,262,136,392,3.6,340,535.25
75,1597,818,18,22,3.6,62,535.25
10,198,49,123,626,3.8,117,535.25
15,334,112,96,786,3.8,57,535.25
75,195,1016,9,488,0.0,0,474.5
62,881,585,9,265,3.7,25,535.25
23,449,334,55,246,3.1,42,535.25
75,1597,792,18,700,3.4,27,535.25
23,1720,242,9,344,4.0,61,535.25
0,145,49,9,294,3.9,147,872.0
75,251,1084,108,778,4.1,454,535.25
25,627,385,9,409,4.1,108,535.25
75,1032,503,116,384,0.0,0,474.5
23,1029,1074,78,296,0.0,0,474.5
75,1645,219,18,435,0.0,0,474.5
75,1649,923,18,592,3.5,17,535.25
83,1118,1069,9,237,3.5,15,535.25
23,963,1145,135,753,4.0,224,535.25
66,179,1044,108,167,0.0,0,474.5
23,1588,242,78,193,0.0,0,474.5
80,1124,89,55,379,3.8,340,535.25
23,767,931,78,193,4.2,29,535.25
2,141,914,78,296,3.7,42,535.25
10,185,1089,78,175,4.0,106,535.25
75,1597,480,55,282,4.3,51,535.25
7,653,190,55,282,4.1,286,535.25
75,1365,242,96,375,4.2,76,535.25
23,1582,145,9,619,4.1,875,535.25
4,145,325,18,26,4.1,164,535.25
23,1306,242,18,764,2.8,1184,535.25
75,1008,49,78,755,0.0,0,474.5
23,1467,63,78,292,3.8,61,535.25
23,1212,638,9,344,3.7,118,535.25
0,148,1074,96,74,4.3,2276,872.0
23,1212,313,96,430,3.7,473,535.25
23,1635,936,96,375,4.0,366,535.25
75,1597,1024,55,249,3.0,196,535.25
23,1576,986,78,193,2.9,12,535.25
23,1212,140,18,564,2.9,21,535.25
15,307,1004,45,7,3.2,4,535.25
23,1328,553,9,236,3.9,138,535.25
66,1208,321,55,39,3.2,774,535.25
15,469,480,18,50,3.5,110,535.25
66,574,242,50,503,3.9,350,535.25
11,189,63,78,175,3.6,42,535.25
62,1597,684,123,573,3.8,90,535.25
12,190,11,9,275,4.3,106,535.25
75,1173,63,50,541,3.4,24,535.25
75,1459,148,55,379,3.7,495,535.25
23,1416,446,9,138,4.3,338,535.25
23,1008,1044,78,410,0.0,0,474.5
23,947,115,110,657,4.2,399,535.25
23,1236,578,96,210,3.7,317,535.25
75,787,666,55,355,3.0,140,535.25
75,1212,1141,96,102,3.7,59,535.25
75,825,1007,96,64,3.9,351,535.25
75,837,305,108,222,4.3,746,535.25
66,449,219,50,684,4.2,49,535.25
75,1480,1084,9,182,3.9,513,535.25
23,552,571,96,102,3.6,202,535.25
23,1019,242,18,779,3.6,99,535.25
75,1601,242,18,122,3.5,32,535.25
75,1289,480,96,806,4.0,29,535.25
23,1603,552,9,236,4.0,411,535.25
23,1287,322,108,576,4.8,3569,535.25
75,1649,931,9,409,4.1,103,535.25
56,771,692,18,435,3.6,49,535.25
23,441,115,18,739,2.7,29,535.25
23,79,256,9,820,3.0,231,535.25
23,448,881,18,51,2.6,333,535.25
75,148,85,78,410,4.1,146,535.25
10,199,68,78,813,0.0,0,474.5
23,670,464,96,284,4.2,257,535.25
66,487,242,108,587,3.7,234,535.25
75,1649,823,18,57,3.4,91,535.25
23,1051,464,78,567,3.8,552,535.25
75,1173,88,108,167,3.6,22,535.25
23,1270,384,96,97,3.8,201,535.25
66,1236,440,112,531,4.5,177,535.25
4,145,34,103,328,4.3,325,535.25
23,1008,1068,78,131,3.8,35,535.25
75,1649,923,18,135,3.3,66,535.25
15,306,1016,55,77,4.1,1398,535.25
23,1589,538,96,121,4.1,840,535.25
23,50,677,55,117,3.6,59,535.25
23,1199,256,18,57,3.2,17,535.25
23,1169,480,108,632,4.0,233,535.25
72,980,668,18,216,4.3,929,535.25
75,533,290,18,794,3.2,189,535.25
75,1561,49,18,735,2.9,23,535.25
75,1056,862,9,164,3.9,313,535.25
23,1459,480,18,88,3.9,56,535.25
25,766,515,96,375,4.2,1325,535.25
75,619,242,108,167,0.0,0,474.5
75,831,709,123,168,3.7,51,535.25
75,492,687,41,659,3.7,419,535.25
27,26,63,78,175,3.4,58,535.25
23,578,503,103,338,3.8,599,535.25
75,1088,1126,96,806,4.1,351,535.25
75,838,262,108,141,4.1,1279,535.25
75,259,103,18,739,3.6,150,535.25
18,392,236,18,216,4.3,1356,535.25
39,716,121,55,379,3.8,96,535.25
23,933,503,96,643,3.8,65,535.25
75,1597,959,78,813,0.0,0,474.5
83,1118,1007,96,312,3.3,281,535.25
0,138,1053,18,725,3.8,166,872.0
59,648,250,108,141,3.9,959,535.25
23,1359,862,55,197,3.6,277,535.25
75,88,364,55,767,3.9,231,535.25
23,564,145,96,806,3.9,389,535.25
23,1227,515,55,718,3.6,517,535.25
75,927,684,78,47,4.9,302,535.25
66,1212,242,108,433,3.7,208,535.25
23,1212,219,55,335,3.5,100,535.25
66,892,616,108,157,4.2,524,535.25
42,722,353,105,540,4.4,481,535.25
23,1173,637,96,753,4.0,255,535.25
23,685,242,55,77,4.3,906,535.25
25,1390,494,9,409,4.4,3174,535.25
23,208,240,18,580,3.0,41,535.25
23,1193,242,9,275,4.0,363,535.25
23,446,242,78,296,0.0,0,474.5
47,1269,684,96,218,4.1,748,535.25
15,330,242,96,594,3.9,779,535.25
23,1212,914,55,572,3.5,22,535.25
23,1345,931,18,622,3.9,196,535.25
23,479,242,108,649,4.3,305,535.25
0,151,869,123,557,3.9,105,872.0
23,1324,684,9,605,4.4,446,535.25
31,649,503,18,735,4.0,754,535.25
15,321,695,18,88,4.0,89,535.25
15,302,208,103,651,3.8,252,535.25
23,671,242,18,34,4.2,648,535.25
46,601,787,18,196,4.2,107,535.25
23,1331,931,18,591,3.8,42,535.25
75,449,345,9,257,0.0,0,474.5
66,1303,182,9,194,3.3,84,535.25
17,345,480,108,628,0.0,0,474.5
32,1467,1074,18,36,3.6,100,535.25
75,787,1070,96,785,3.5,47,535.25
75,1597,920,55,379,3.5,37,535.25
75,1158,854,108,423,3.8,434,535.25
80,632,720,18,817,3.6,162,535.25
15,367,1084,55,191,4.5,672,535.25
23,1327,487,52,652,4.2,685,535.25
23,1425,121,55,709,3.8,248,535.25
75,449,242,108,364,0.0,0,474.5
23,1467,1023,49,202,4.1,748,535.25
66,1597,1005,58,746,3.7,67,535.25
25,989,510,96,73,4.1,1118,535.25
7,1212,219,55,246,2.9,94,535.25
7,1612,480,18,51,4.2,624,535.25
85,1133,986,55,718,3.6,46,535.25
23,1607,402,18,57,3.8,30,535.25
23,1581,538,96,192,4.3,872,535.25
75,1618,866,78,300,0.0,0,474.5
46,933,963,96,284,4.0,580,535.25
26,617,242,9,257,4.3,776,535.25
75,253,1074,78,813,0.0,0,474.5
75,1675,789,55,246,3.3,47,535.25
83,1118,999,50,692,4.0,205,535.25
23,1574,281,18,382,3.9,79,535.25
22,297,242,18,426,3.8,29,535.25
75,1597,914,9,101,3.7,29,535.25
61,1383,715,18,712,4.0,154,535.25
66,6,616,108,222,3.9,918,535.25
66,449,167,9,101,3.7,17,535.25
23,1609,936,123,625,3.8,101,535.25
75,1644,945,18,321,3.7,69,535.25
23,1535,194,18,51,4.3,883,535.25
15,334,242,9,70,4.1,436,535.25
66,771,219,18,132,3.3,58,535.25
66,719,1084,9,537,4.4,551,535.25
23,522,875,78,300,0.0,0,474.5
75,1173,179,108,819,3.8,153,535.25
75,641,96,108,172,4.0,440,535.25
75,547,580,55,336,3.1,1380,535.25
23,1524,448,9,825,4.1,170,535.25
75,1047,63,78,180,0.0,0,474.5
15,409,357,108,720,4.3,371,535.25
23,1212,472,123,398,4.1,2055,535.25
75,1597,920,9,391,4.0,93,535.25
75,1597,807,18,26,4.0,275,535.25
83,1133,979,52,1,4.0,75,523.5
75,1597,958,96,419,3.9,643,535.25
23,1649,931,18,314,3.0,128,535.25
75,777,1007,103,28,3.6,18,535.25
23,1061,503,96,140,0.0,0,474.5
46,1677,846,9,86,4.2,519,535.25
75,771,451,15,800,3.2,4,535.25
23,1043,345,9,257,4.0,243,535.25
23,1186,503,96,785,0.0,0,474.5
75,1156,503,78,297,0.0,0,474.5
15,358,63,9,400,4.0,405,535.25
23,1609,897,18,701,2.7,113,535.25
68,621,515,9,619,4.1,107,535.25
65,664,497,9,820,4.4,2011,535.25
23,1288,515,96,430,3.1,552,535.25
46,984,834,108,27,4.0,413,535.25
23,1072,103,55,77,4.1,431,535.25
56,50,801,18,36,3.7,138,535.25
75,793,49,108,649,3.7,80,535.25
75,1143,256,96,121,3.1,50,535.25
66,1422,119,9,86,3.9,373,535.25
83,1118,1074,55,355,3.8,87,535.25
75,484,1084,141,528,0.0,0,474.5
23,449,640,96,375,4.4,569,535.25
75,1216,305,9,182,3.9,501,535.25
23,1212,115,108,707,3.7,452,535.25
23,1052,862,78,566,0.0,0,474.5
46,1093,973,55,249,4.0,107,535.25
23,1649,1089,136,788,3.8,428,535.25
23,1425,179,50,541,3.7,202,535.25
15,414,242,39,656,4.1,421,535.25
25,1135,515,96,823,4.1,1071,535.25
23,1212,262,108,390,3.7,165,535.25
75,179,1016,9,243,0.0,0,474.5
23,449,120,96,192,3.9,250,535.25
7,629,837,78,479,3.5,15,535.25
75,1173,242,18,333,3.4,60,535.25
23,208,456,18,592,4.0,499,535.25
75,1173,401,55,197,4.0,267,535.25
75,1234,92,9,610,3.7,55,535.25
0,145,936,55,379,4.2,509,872.0
75,1212,103,96,430,3.3,8,535.25
75,1513,332,18,623,2.9,45,535.25
75,26,145,78,281,3.9,90,535.25
66,253,936,9,67,3.5,140,535.25
25,89,1161,96,102,4.0,159,535.25
23,1173,92,18,135,3.6,37,535.25
23,1029,65,78,32,2.9,9,535.25
23,1324,572,96,192,4.1,557,535.25
23,704,931,78,617,3.7,62,535.25
57,1097,510,96,284,3.8,1829,535.25
75,1526,242,145,380,3.5,53,535.25
23,269,827,55,368,3.9,591,535.25
23,1012,920,78,562,3.4,76,535.25
75,771,1016,55,355,2.9,57,535.25
75,1597,814,55,627,3.9,227,535.25
45,1173,541,78,291,4.1,465,535.25
25,749,503,110,663,4.2,936,535.25
75,1173,223,50,675,3.8,251,535.25
23,1416,503,9,265,4.2,217,535.25
23,1192,305,18,135,3.2,46,535.25
66,1100,128,9,340,3.9,234,535.25
15,417,823,18,57,3.6,72,535.25
75,514,1131,55,743,4.3,1243,535.25
75,1540,503,110,228,3.8,167,535.25
39,716,13,55,432,3.0,58,535.25
10,185,242,55,246,3.6,322,535.25
66,955,605,50,684,4.1,81,535.25
75,1495,227,9,609,3.5,147,535.25
75,1597,242,18,34,0.0,0,474.5
66,1400,438,96,96,4.0,51,535.25
75,50,503,78,582,0.0,0,474.5
83,1133,1106,50,732,3.8,201,535.25
